slot,profile,repeat,kind,intent,cores,memory_per_worker_mb,theoretical_worker_budget_mb,cpu_vendor,cpu_model,reported_cpu_mhz,mem_total_gib,swap_total_gib,bandwidth_1_thread_median_gbps,bandwidth_4_thread_median_gbps,bandwidth_scaling_4_to_1,max_process_count,max_tree_rss_gib,max_tree_pss_gib,max_tree_swap_gib,min_mem_available_gib,max_pressure_some_avg10,max_pressure_full_avg10,oom_events,oom_kill_events,exit_status,classification,elapsed_seconds,artifact_result_path
01,vampire-casc-4x2500,1,vampire,unsat,4,2500,10000,AuthenticAMD,AMD EPYC 9V74 80-Core Processor,2870.698,15.6149,3.0,34.657832,39.6991,1.1455,6,3.7533,3.7087,0.0,10.9037,0.0,0.0,0,0,1,expected-short-limit,94,runner-diagnostic-01-vampire-casc-4x2500-r1/result.json
02,vampire-casc-4x2500,2,vampire,unsat,4,2500,10000,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3229.422,15.6149,3.0,28.168653,31.811637,1.1293,6,3.6601,3.616,0.0,11.0544,0.0,0.0,0,0,1,expected-short-limit,93,runner-diagnostic-02-vampire-casc-4x2500-r2/result.json
03,vampire-casc-4x2500,3,vampire,unsat,4,2500,10000,AuthenticAMD,AMD EPYC 9V74 80-Core Processor,2870.733,15.6149,3.0,31.68271,39.984094,1.262,6,3.6322,3.5879,0.0,11.1058,0.0,0.0,0,0,1,expected-short-limit,95,runner-diagnostic-03-vampire-casc-4x2500-r3/result.json
04,vampire-casc-4x2500,4,vampire,unsat,4,2500,10000,GenuineIntel,INTEL(R) XEON(R) PLATINUM 8573C,3584.525,15.614,3.0,18.859671,40.047844,2.1235,6,3.9974,3.9522,0.0,10.7036,0.0,0.0,0,0,1,expected-short-limit,94,runner-diagnostic-04-vampire-casc-4x2500-r4/result.json
05,vampire-casc-3x3300,1,vampire,unsat,3,3300,9900,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3227.770,15.6149,3.0,31.829184,37.384864,1.1745,5,4.2298,4.1961,0.0,10.4623,0.0,0.0,0,0,1,expected-short-limit,95,runner-diagnostic-05-vampire-casc-3x3300-r1/result.json
06,vampire-casc-3x3300,2,vampire,unsat,3,3300,9900,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3027.021,15.619,3.0,31.727649,37.93975,1.1958,5,4.5151,4.4814,0.0,10.2118,0.0,0.0,0,0,1,expected-short-limit,94,runner-diagnostic-06-vampire-casc-3x3300-r2/result.json
07,vampire-casc-3x3300,3,vampire,unsat,3,3300,9900,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3238.421,15.6149,3.0,32.608837,38.648156,1.1852,5,4.4259,4.3925,0.0,10.3297,0.0,0.0,0,0,1,expected-short-limit,94,runner-diagnostic-07-vampire-casc-3x3300-r3/result.json
08,vampire-casc-3x3300,4,vampire,unsat,3,3300,9900,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3334.637,15.6149,3.0,32.885763,39.344365,1.1964,5,4.5652,4.5316,0.0,10.1325,0.0,0.0,0,0,1,expected-short-limit,94,runner-diagnostic-08-vampire-casc-3x3300-r4/result.json
09,vampire-casc-2x5000,1,vampire,unsat,2,5000,10000,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3243.853,15.6149,3.0,28.542781,33.173158,1.1622,4,5.4304,5.4073,0.0,9.2991,0.0,0.0,0,0,1,expected-short-limit,95,runner-diagnostic-09-vampire-casc-2x5000-r1/result.json
10,vampire-casc-2x5000,2,vampire,unsat,2,5000,10000,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3219.817,15.6149,3.0,24.667793,28.304268,1.1474,4,5.2207,5.1977,0.0,9.5294,0.0,0.0,0.0,0.0,1,expected-short-limit,94,runner-diagnostic-10-vampire-casc-2x5000-r2/result.json
11,vampire-casc-2x5000,3,vampire,unsat,2,5000,10000,AuthenticAMD,AMD EPYC 9V74 80-Core Processor,2870.871,15.6149,3.0,35.318491,40.823163,1.1559,4,5.4607,5.4381,0.0,9.2779,0.0,0.0,0,0,1,expected-short-limit,94,runner-diagnostic-11-vampire-casc-2x5000-r3/result.json
12,vampire-casc-2x5000,4,vampire,unsat,2,5000,10000,AuthenticAMD,AMD EPYC 7763 64-Core Processor,2445.429,15.6149,3.0,31.505329,36.825567,1.1689,4,5.3473,5.3245,0.0,9.3867,0.0,0.0,0,0,1,expected-short-limit,93,runner-diagnostic-12-vampire-casc-2x5000-r4/result.json
13,vampire-sat-4x2500,1,vampire,sat,4,2500,10000,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3271.845,15.619,3.0,32.595145,38.340604,1.1763,6,1.6221,1.5824,0.0,12.9222,0.0,0.0,0,0,1,expected-short-limit,95,runner-diagnostic-13-vampire-sat-4x2500-r1/result.json
14,vampire-sat-4x2500,2,vampire,sat,4,2500,10000,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3205.111,15.6149,3.0,33.053164,39.945006,1.2085,6,1.5426,1.5036,0.0,13.0545,0.0,0.0,0,0,1,expected-short-limit,93,runner-diagnostic-14-vampire-sat-4x2500-r2/result.json
15,vampire-sat-4x2500,3,vampire,sat,4,2500,10000,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3368.233,15.6149,3.0,31.653745,37.536057,1.1858,6,1.5674,1.5277,0.0,13.061,0.0,0.0,0,0,1,expected-short-limit,94,runner-diagnostic-15-vampire-sat-4x2500-r3/result.json
16,vampire-sat-4x2500,4,vampire,sat,4,2500,10000,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3240.428,15.6149,3.0,29.522336,29.911615,1.0132,6,1.3918,1.4399,0.0,13.265,0.0,0.0,0,0,1,expected-short-limit,94,runner-diagnostic-16-vampire-sat-4x2500-r4/result.json
17,e-auto-4x2500,1,e,n/a,4,2500,10000,AuthenticAMD,AMD EPYC 9V74 80-Core Processor,2869.314,15.6149,3.0,35.832844,40.65542,1.1346,10,5.4188,5.3891,0.0,9.1535,0.0,0.0,0,0,9,expected-short-limit,96,runner-diagnostic-17-e-auto-4x2500-r1/result.json
18,e-auto-4x2500,2,e,n/a,4,2500,10000,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3262.735,15.619,3.0,28.9996,35.799743,1.2345,10,5.3991,5.3695,0.0,9.0511,0.0,0.0,0,0,9,expected-short-limit,96,runner-diagnostic-18-e-auto-4x2500-r2/result.json
19,e-auto-4x2500,3,e,n/a,4,2500,10000,AuthenticAMD,AMD EPYC 7763 64-Core Processor,3267.151,15.6149,3.0,28.609454,34.046234,1.19,10,5.4156,5.3857,0.0,9.0154,0.0,0.0,0,0,9,expected-short-limit,97,runner-diagnostic-19-e-auto-4x2500-r3/result.json
20,e-auto-4x2500,4,e,n/a,4,2500,10000,GenuineIntel,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,3498.910,15.614,3.0,15.411898,33.886951,2.1988,10,5.4197,5.3891,0.0,9.1473,0.0,0.0,0,0,9,expected-short-limit,94,runner-diagnostic-20-e-auto-4x2500-r4/result.json
